Plot,PreBurn,1yrPost,2yrPost,3yrPost,4yrPost
AB0001,6.1,1.1,,,
AB0002,3.4,6.3,,,
AB0003,1.2,2.5,,,
AB0004,0.0,0.0,,,
AB0005,0.0,0.0,,,
AB0006,0.5,0.6,,,
AB0007,0.0,0.0,,,
B:FFUEL1G08:10,19.8,3.2,2.4,0.9,
B:FFUEL1G08:20,9.4,7.0,25.4,17.3,
B:FFUEL1G08:MB01,0.0,0.0,,,
B:FFUEL1G08:MB02,0.3,,,,
B:FPIBO1G08:01,3.7,4.4,8.2,,
B:FPIBO1G08:02,2.6,1.7,,,
B:FPIBO1G08:03,0.9,1.4,6.3,,
B:FPIBO1G08:04,7.0,5.7,13.5,,
B:FPIBO1G08:08,6.4,2.4,,,
B:FPIBO1G08:09,0.5,0.0,,,
B:FPIBO1G08:10,8.7,1.3,,,
B:FPIBO1G08:11,8.3,4.2,20.0,,
B:FPIBO1G08:12,5.1,1.3,7.6,,
B:FPIBO1G08:13,4.8,4.5,15.8,,
B:FPIBO1G08:14,1.3,1.0,18.5,,
B:FPIEC1G09:01,3.7,2.5,6.9,2.9,
B:FPIRI1G08:01,3.3,2.7,,,
B:FPIRI1G08:02,2.1,0.9,,,
B:FPIRI1G08:03,4.8,14.2,,,
B:FPIRI1G08:04,0.0,0.0,0.0,,
B:FPIRI1G08:05,6.4,2.8,2.4,,
B:FPIRI1G08:06,4.0,13.9,16.8,,
B:FPIRI1G08:07,2.0,0.5,,,
B:FPIRI1G08:08,4.0,9.4,,,
B:FPIRI1G08:09,2.2,,5.8,32.3,
B:FPIRI1G08:10,4.9,7.4,21.9,,
B:FPIRI1G08:11,5.4,5.0,4.4,3.1,
B:FPIRI1G08:12,1.1,1.6,8.5,8.2,
B:FPIRI1G08:13,4.7,6.2,4.2,15.8,
B:FPIRI1G08:14,0.2,5.0,5.7,2.1,
B:FPIRI1G08:15,8.3,,,,
B:FPIRI1G08:16,0.5,10.0,21.4,,
B:FPIRI1G08:17,0.7,0.7,1.6,,
B:FPIRI1G08:18,1.0,1.5,,,
B:FQUAL1G09:01,5.5,4.5,6.8,17.6,
B:FQUAL1G09:02,4.2,3.4,,28.8,
B:FQUAL1G09:03,14.6,5.0,3.6,20.6,
B:FQUAL1G09:04,11.0,13.1,11.7,3.6,
B:FQUAL1G09:06,0.6,,,,
B:FQUAL1G09:07,4.2,4.0,,,
B:FQUAL1G09:08,10.3,9.6,,,
B:FQUAL1G09:09,4.3,3.2,,,
B:FQUAL1G09:10,1.1,,,,
B:FQUAL1G09:11,0.9,0.9,,,
B:FQUAL1G09:12,8.9,6.1,,,
B:FQUAL1G09:13,0.5,0.6,,,
B:FQUCO1D08:01,0.7,2.3,24.6,34.6,
B:FQUCO1D08:02,6.3,4.4,12.0,32.2,
B:FQUCO1D08:03,0.8,4.4,4.4,5.3,
B:FQUCO1D08:04,5.6,6.9,7.4,,
B:FQUCO1D08:05,4.7,,8.0,1.3,
B:FQUCO1D08:06,0.8,0.9,0.6,4.3,
B:FQUCO1D08:07,14.8,13.5,13.8,4.2,
B:FQUCO1D08:08,5.5,2.3,3.9,,
B:FQUCO1D08:09,1.3,0.7,0.6,,
B:FQUCO1D08:10,4.9,5.1,3.2,1.1,
B:FQUCO1D08:11,6.2,8.7,5.1,2.3,
B:FQUCO1D08:12,0.2,0.2,3.2,6.2,
B:FQUCO1D08:13,3.5,5.2,5.2,26.7,
B:FQUCO1D08:14,0.6,0.4,,,
B:FQUCO1D08:15,3.6,3.0,5.1,,
B:FQUCO1D08:16,3.1,0.7,3.8,,
B:FQUCO1G08:01,4.2,0.6,0.5,12.4,
B:FQUCO1G08:03,17.3,4.1,,,
B:FQUCO1G08:04,1.4,2.7,,,
B:FQUCO1G08:05,2.4,3.3,,,
B:FQUCO1G08:06,1.7,,,,
B:FQUCO1G08:07,3.3,,,,
B:FQUCO1G08:08,0.5,0.4,,,
B:FQUCO1G08:09,5.6,5.3,,,
B:FQUCO1G08:10,3.3,6.2,3.1,3.8,
B:FQUCO1G08:11,1.3,4.4,1.6,4.4,
B:FQUCO1G08:12,3.8,6.0,5.9,0.0,
B:FQUCO1G08:13,28.5,28.1,1.6,,
B:FQUCO1G08:14,2.7,2.5,2.8,2.0,
B:FQUCO1G08:15,3.9,5.0,6.1,,
B:FQUCO1G08:16,9.4,9.0,,,
B:FQUMO1G09:01,0.0,0.7,0.9,1.5,
B:FQUMO1G09:02,0.5,0.6,1.7,3.1,
B:FQUMO1G09:03,2.2,0.8,3.3,3.3,
B:FQUMO1G09:04,5.2,2.5,1.8,1.9,2.2
B:FQUMO1G09:05,5.2,1.3,0.4,0.2,0.5
B:FQUMO1G09:06,3.3,0.8,2.2,1.1,
B:FQUMO1G09:07,5.5,4.6,7.2,10.9,
B:FQUMO1G09:08,4.7,1.1,3.7,2.8,
B:FQUMO1G09:09,1.5,0.4,0.0,6.3,
B:FQUMO1G09:10,1.3,0.4,0.0,1.6,2.5
B:FQUMO1G09:11,1.3,0.0,0.5,0.9,3.5
B:FQUMO1G09:12,6.8,6.1,0.7,5.5,3.4
B:FQUMO1G09:13,0.6,,,,
B:FQUMO1G09:14,4.8,0.0,,,
B:FQUMO1G09:15,4.0,0.0,0.6,0.2,1.9
B:FQUMO1G09:16,4.1,2.1,2.5,3.1,2.4
B:FQUMO1G09:17,4.2,3.8,1.2,,
B:FQUMO1G09:18,1.0,4.1,1.4,,
B:FQUMO1G09:19,0.3,0.4,0.6,0.3,5.2
B:FQUMO1G09:20,1.5,0.9,4.9,3.6,3.9
B:FQUMO1G09:21,0.3,5.5,1.4,2.1,0.9
FFUEL01,,,6.2,,
FFUEL02,,,1.9,,
FFUEL03,,,1.3,,
FFUEL04,,,13.8,,
